OBJECTID,JURISDICTION,OWNERSHIP,MUNICIPALITY,NAME,FROM_,TO_,CLASS,CLASS_OP,DES_SURF_WIDTH,Shape_Length
7849,LOCAL,OSHAWA,OSHAWA,FLORELL DR,HARCOURT DR,OLIVE AVE,L/R,L,,273.087886587966
7850,LOCAL,OSHAWA,OSHAWA,DOWNING CT,CHARRINGTON AVE,PADDINGTON CRES,L/R,L,,68.9068426324615
7851,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE W,NIPIGON ST,TRENT ST,ART,C,,102.021671272751
7852,LOCAL,OSHAWA,OSHAWA,KEATES AVE,FAREWELL ST,MILTON ST,L/R,L,,168.602442179214
7853,LOCAL,OSHAWA,OSHAWA,MILTON ST,TENNYSON AVE,SHELLEY AVE,L/R,L,,88.0529521449257
7854,LOCAL,OSHAWA,OSHAWA,MILTON ST,SHELLEY AVE,CHESTERTON AVE,L/R,L,,87.3326186480433
7855,LOCAL,OSHAWA,OSHAWA,SHELLEY AVE,MILTON ST,BROWNING ST,L/R,L,,167.379495745971
7856,LOCAL,OSHAWA,OSHAWA,SENECA AVE,SOMERVILLE ST,SARCEE ST,L/R,L,,294.202913738118
7857,LOCAL,OSHAWA,OSHAWA,GLENBOURNE DR,MACINALLY CT,GRANDVIEW ST N,C/R,COL,,193.338968607481
7858,LOCAL,OSHAWA,OSHAWA,RAGLAN RD E,WILSON RD N,HARMONY RD N,400,L,,799.769154547396
7859,LOCAL,OSHAWA,OSHAWA,PALMETTO DR,EVERGLADES DR,POMPANO CT,L/R,L,,76.4064018908816
7860,LOCAL,OSHAWA,OSHAWA,TROWBRIDGE DR,COMPTON CRES,COMPTON CRES,C/R,COL,,119.840009356677
7861,LOCAL,OSHAWA,OSHAWA,VEGA ST,ADELAIDE AVE E,ASTRA AVE,L/R,L,,64.8736858022899
7862,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,FOUNDERS GATE,CONLIN RD,ART,B,,200.137732799551
7863,LOCAL,OSHAWA,OSHAWA,MALIBU ST,44 m S OF ELDORADO,ELDORADO AVE,L/R,L,,40.3992709424894
7864,LOCAL,OSHAWA,OSHAWA,COLDSTREAM DR,ORMOND DR,NORTHFIELD AVE,ART,C,,177.932346939479
7865,LOCAL,OSHAWA,OSHAWA,EASTGROVE AVE,RIVERSIDE DR N,EASTHAVEN ST,L/R,L,,81.3529000077647
7866,LOCAL,OSHAWA,OSHAWA,RIVERSIDE DR N,FLORIAN CT,EASTGROVE AVE,L/R,L,,85.4139816042308
7867,LOCAL,OSHAWA,OSHAWA,KEEWATIN ST S,APPLEGROVE AVE,SPRINGDALE CRES,C/R,COL,,166.944413905866
7868,LOCAL,OSHAWA,OSHAWA,GREENLANE CT,SOUTH LIMIT,PONDTAIL CT/GREENLANE DR,L/R,L,,144.546773058281
7869,LOCAL,OSHAWA,OSHAWA,BOVIN AVE,PINDAR CRES,PINDAR CRES,L/R,L,,132.964898849845
7870,LOCAL,OSHAWA,OSHAWA,HIGHGATE AVE,RITSON RD N,EXETER ST,C/R,COL,,145.217960325963
7871,LOCAL,OSHAWA,OSHAWA,APPLEGROVE AVE,ORIOLE CT,ORIOLE ST,L/R,L,,37.2406206553187
7872,LOCAL,OSHAWA,OSHAWA,COLUMBUS RD E,RITSON RD N,WILSON RD N,500,B,,714.551727054639
7873,LOCAL,OSHAWA,OSHAWA,CRANBERRY ST,ADELAIDE AVE E,PINETREE CT,L/R,L,,65.5950403984179
7874,LOCAL,OSHAWA,OSHAWA,COLUMBUS RD E,65 m W OF RITSON RD,RITSON RD N,400,B,,75.1867878935543
7875,LOCAL,OSHAWA,OSHAWA,LEXINGTON ST,RODNEY CT,DARCY ST,L/R,L,,83.096728868036
7876,LOCAL,OSHAWA,OSHAWA,CARNABY CT,EXETER ST,CENTRAL PARK BLVD N,L/R,L,,86.8534513364294
7877,LOCAL,OSHAWA,OSHAWA,SOUTHGATE DR,TOWNLINE RD S,SOUTHRIDGE ST,L/R,L,,65.0147581283907
7878,LOCAL,OSHAWA,OSHAWA,BEDFORD AVE,MOHAWK ST,CHEVROLET ST,L/R,L,,110.992394318864
7879,LOCAL,OSHAWA,OSHAWA,MOHAWK ST,BEDFORD AVE,SHERWOOD AVE,L/R,L,,264.339838273117
7880,LOCAL,OSHAWA,OSHAWA,CORSICA AVE,FLEETWOOD DR,CENTURY ST,L/R,L,,79.1222031865691
7881,LOCAL,PRIVATE,OSHAWA,AVENUE OF CHAMPIONS,,,,,,369.042757927822
7882,REGIONAL,DURHAM,OSHAWA,TAUNTON RD W,NORTHBROOK ST,SOMERVILLE ST,ART,A,,421.934390711967
7883,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,HORTOP ST,HORTOP ST,ART,B,,33.3171032861945
7884,LOCAL,OSHAWA,OSHAWA,SOMERVILLE ST,CHURCHILL AVE,SUNSET DR,C/R,COL,,91.1041711259554
7885,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,CONNAUGHT ST,BUCKINGHAM AVE,ART,B,,192.610305981104
7886,REGIONAL,DURHAM,OSHAWA,TAUNTON RD W,SOMERVILLE ST,SIMCOE ST N,ART,A,,394.932861448828
7887,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,CAYUGA AVE,GLOVERS RD,ART,B,,149.228035231417
7888,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,GLOVERS RD,NIAGARA DR,ART,B,,661.29531663451
7889,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,NIAGARA DR,EASTWOOD AVE,ART,B,,229.974656448958
7890,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,NIAGARA DR,CARSWELL AVE,ART,B,,70.6796276939545
7891,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,EASTWOOD AVE,NIAGARA DR,ART,B,,102.221047019547
7892,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,CARSWELL AVE,TAYLORWOOD RD,ART,B,,149.466499684184
7893,LOCAL,PRIVATE,OSHAWA,AVENUE OF CHAMPIONS,,,,,,99.4198742410135
7894,REGIONAL,DURHAM,OSHAWA,WINCHESTER RD W,WHITBY/OSHAWA BOUNDARY,THORNTON RD N,ART,B,,430.973387801847
7895,REGIONAL,DURHAM,OSHAWA,TAUNTON RD E,SIMCOE ST N,MARY ST N,ART,A,,494.295490178637
7896,REGIONAL,DURHAM,OSHAWA,TAUNTON RD W,AIRPORT BLVD,NORTHBROOK ST,ART,A,,812.811209008102
7897,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,WHITBY/OSHAWA BOUNDARY,THORNTON RD N,ART,B,,425.983387743757
7898,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,PARK RD N,GLENCAIRN ST,ART,B,,156.022322180679
7899,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,STEVENSON RD N,FERNHILL BLVD,ART,B,,202.431251361762
7900,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,WAVERLY ST N,STEVENSON RD N,ART,B,,412.63141976949
7901,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD E,GRIERSON ST,MINTO ST,ART,B,,86.4753170083011
7902,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,WESTMORELAND AVE,ARLINGTON AVE,ART,B,,89.4185860327148
7903,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,BROOKSIDE DR,SOMERVILLE AVE,ART,B,,91.8169467885268
7904,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,STEEPLEVIEW CT,COLUMBUS RD,ART,B,,384.585945469726
7905,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,THORNTON RD N,WAVERLY ST N,ART,B,,405.007591280043
7906,REGIONAL,DURHAM,OSHAWA,TAUNTON RD W,KEITH ROSS DR,AIRPORT BLVD,ART,A,,310.386269838241
7907,REGIONAL,DURHAM,OSHAWA,TAUNTON RD W,THORNTON RD N,KEITH ROSS DR,ART,A,,524.315576957407
7908,REGIONAL,DURHAM,OSHAWA,TAUNTON RD W,OSHAWA/WHITBY BOUNDARY,THORNTON RD N,ART,A,,452.561915945514
7909,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,DARCY ST,SWITZER DR,ART,B,,274.307574979684
7910,LOCAL,OSHAWA,OSHAWA,RIVERSIDE DR N,EASTGROVE AVE,EASTBOURNE AVE,L/R,L,,157.152527826546
7911,LOCAL,OSHAWA,OSHAWA,LESABRE ST,CORSICA AVE,ANDOVER CT/ANDOVER DR,L/R,L,,89.6737918791242
7912,LOCAL,OSHAWA,OSHAWA,CORSICA AVE,LAGUNA ST,LESABRE ST,L/R,L,,80.1223543602521
7913,LOCAL,OSHAWA,OSHAWA,EXETER ST,DARCY ST,CARNABY CT,L/R,L,,125.793467318485
7914,LOCAL,OSHAWA,OSHAWA,ANNIS ST,DANIEL ST,EAST LIMIT,L/R,L,,76.182662511728
7915,LOCAL,OSHAWA,OSHAWA,GRASSMERE CT,CLOVERDALE ST,EAST LIMIT,L/R,L,,194.149149266245
7916,LOCAL,OSHAWA,OSHAWA,HOSKIN AVE,WINDSOR ST,BALDWIN ST,L/R,L,,104.152088290793
7917,LOCAL,OSHAWA,OSHAWA,STACEY AVE,HURON ST,CLARKE ST,L/R,L,,73.4412328828204
7918,LOCAL,OSHAWA,OSHAWA,STACEY AVE,DREW ST,HURON ST,L/R,L,,73.1915288119006
7919,LOCAL,OSHAWA,OSHAWA,FLEETWOOD DR,ADELAIDE AVE E,LEMANS AVE,C/R,COL,,65.820641918765
7920,LOCAL,OSHAWA,OSHAWA,GLENRIDGE CT,GLENRIDGE CT,EAST LIMIT,L/R,L,,245.991159437819
7921,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,HOWDEN RD,HAMBLY RD,ART,B,,1590.79807669761
7922,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,ARLINGTON AVE,MCLAUGHLIN BLVD,ART,B,,93.2530628700769
7923,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,TAYLORWOOD RD,COMMENCEMENT DR,ART,B,,171.131427063462
7924,REGIONAL,DURHAM,OSHAWA,SIMCOE ST S,OLIVE AVE,FAIRBANKS ST,ART,B,,64.5583811163604
7925,REGIONAL,DURHAM,OSHAWA,BLOOR ST W,PARK RD S,CUBERT ST,ART,A,,231.332175860099
7926,REGIONAL,DURHAM,OSHAWA,HARMONY RD N,ADELAIDE AVE E,GLEBE AVE,ART,A,,566.020174466909
7927,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,HARMONY RD N,BLACKTHORN ST,ART,C,,295.750845676765
7928,REGIONAL,DURHAM,OSHAWA,HARMONY RD S,OLIVE AVE,FLORELL DR,ART,A,,183.654199166908
7929,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,ROXBOROUGH AVE,CENTRAL PARK BLVD N,ART,C,,133.606494821391
7930,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,OSHAWA BLVD N,ROXBOROUGH AVE,ART,C,,106.312051332171
7931,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,JULIANA DR,WILSON RD N,ART,C,,108.640402128514
7932,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,ROBERT ST,SUNSET DR,ART,B,,180.097609905282
7933,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,BYNG AVE,TECUMSEH AVE,ART,B,,93.9792875986228
7934,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,TECUMSEH AVE,ORCHARD VIEW BLVD,ART,B,,91.2840384440244
7935,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,ORCHARD VIEW BLVD,WAYNE AVE,ART,B,,90.9303185193505
7936,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,WAYNE AVE,RUSSETT AVE,ART,B,,89.6474363687631
7937,REGIONAL,DURHAM,OSHAWA,BLOOR ST E,ALBERT ST,ALBERT ST,ART,A,,50.16122740558
7938,REGIONAL,DURHAM,OSHAWA,TOWNLINE RD N,WHITELAW AVE,TAUNTON RD E,ART,B,,471.96896581725
7939,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,RIDGE TOP CT,HOWDEN RD,ART,B,,1603.63980628811
7940,REGIONAL,DURHAM,OSHAWA,SIMCOE ST S,GIBB ST,HEMLOCK AVE,ART,B,,145.348096380008
7941,REGIONAL,DURHAM,OSHAWA,SIMCOE ST S,QUEBEC ST,GIBB ST,ART,B,,86.129635094493
7942,LOCAL,OSHAWA,OSHAWA,GLENGROVE ST,ROSSMOUNT AVE,GLENCASTLE AVE,L/R,L,,85.8683090816628
7943,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,CHRISTIE AVE,HORTOP ST,ART,B,,92.4376716967687
7944,LOCAL,OSHAWA,OSHAWA,GIBBONS ST,MARION AVE,WELLAND AVE,C/R,COL,,179.061430799139
7945,REGIONAL,DURHAM,OSHAWA,BOUNDARY RD,PHILLIP MURRAY AVE,WENTWORTH ST W,ART,C,,782.851821009039
7946,LOCAL,OSHAWA,OSHAWA,GIBBONS ST,WELLAND AVE,MALAN AVE,C/R,COL,,66.6957306093029
7947,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,CARNEGIE AVE,CARNEGIE AVE,ART,B,,30.6285432307257
7948,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,GLENCAIRN ST,ANSLEY CT,ART,B,,350.747657915594
7949,LOCAL,OSHAWA,OSHAWA,FERNHILL BLVD,BADER AVE,ROSSLAND RD W,L/R,L,,108.541422217665
7950,LOCAL,OSHAWA,OSHAWA,GRANDVIEW ST N,ROSSLAND RD E,RIPLEY CRES,ART,C,,68.118153233977
7951,REGIONAL,DURHAM,OSHAWA,BLOOR ST W,PARK RD S,CROMWELL AVE,ART,A,,43.7719040840968
7952,LOCAL,OSHAWA,OSHAWA,GRANDVIEW ST N,RIPLEY CRES,CORBETTS RD,ART,C,,78.7529682535372
7953,LOCAL,OSHAWA,OSHAWA,ELMGROVE AVE,GRENFELL ST,CROMWELL AVE,ART,C,,95.682480687501
7954,LOCAL,OSHAWA,OSHAWA,ELMGROVE AVE,WESTMOUNT ST,GRENFELL ST,ART,C,,96.3019986787883
7955,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,CENTRAL PARK BLVD N,JULIANA DR,ART,C,,317.168941843852
7956,LOCAL,OSHAWA,OSHAWA,FERNHILL BLVD,MADISON AVE,ADELAIDE AVE W,L/R,L,,97.6193537264243
7957,LOCAL,OSHAWA,OSHAWA,GLIDDON AVE,ROWE ST,OSHAWA BLVD S,L/R,L,,63.0641208443748
7958,LOCAL,OSHAWA,OSHAWA,ELMGROVE AVE,410 m W OF PARK RD S,WESTMOUNT ST,ART,C,,41.6942871809265
7959,LOCAL,OSHAWA,OSHAWA,GLIDDON AVE,RITSON RD S,ROWE ST,L/R,L,,107.188049087308
7960,LOCAL,OSHAWA,OSHAWA,ELMGROVE AVE,CROMWELL AVE,MONTRAVE AVE,ART,C,,89.8069145982719
7961,LOCAL,OSHAWA,OSHAWA,GIBBONS ST,RIDGEWAY AVE,FAIRLEIGH AVE,C/R,COL,,90.700378446696
7962,LOCAL,OSHAWA,OSHAWA,GIBB ST,WEST CITY LIMITS,LIMERICK ST,ART,C,,172.027708806823
7963,LOCAL,OSHAWA,OSHAWA,GIBB ST,LIMERICK ST,TIPPERARY ST,ART,C,,178.500502541117
7964,LOCAL,OSHAWA,OSHAWA,GIBB ST,TIPPERARY ST,THORNTON RD S,ART,C,,158.100440848126
7965,LOCAL,OSHAWA,OSHAWA,GLEBE AVE,GALAHAD DR,HARMONY RD N,C/R,COL,,96.4476959320769
7966,LOCAL,OSHAWA,OSHAWA,FERNHILL BLVD,CREIGHTON AVE,LLEWELLYN AVE,L/R,L,,169.254999350138
7967,LOCAL,OSHAWA,OSHAWA,FERNHILL BLVD,LLEWELLYN AVE,MADISON AVE,L/R,L,,124.197929688087
7968,LOCAL,OSHAWA,OSHAWA,KEEWATIN ST S,OLIVE AVE,LORINDALE DR,C/R,COL,,105.481199571615
7969,LOCAL,OSHAWA,OSHAWA,KEEWATIN ST N,KING ST E,NEWBURY AVE,C/R,COL,,107.388925096843
7970,LOCAL,OSHAWA,OSHAWA,JOHN ST E,SIMCOE ST S,CELINA ST,ART,C,,88.246198214474
7971,LOCAL,OSHAWA,OSHAWA,JOHN ST E,CELINA ST,ALBERT ST,ART,C,,76.9814244527969
7972,LOCAL,OSHAWA,OSHAWA,KEEWATIN ST S,LORINDALE DR,VIEWMOUNT ST,C/R,COL,,190.478711367587
7973,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD E,TERRACE DR,WILSON RD N,ART,B,,239.762414018364
7974,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD E,CENTRAL PARK BLVD N,BRENTWOOD AVE,ART,B,,179.916538993916
7975,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,LAGUNA ST,VEGA ST,ART,C,,292.709687152368
7976,LOCAL,OSHAWA,OSHAWA,KING ST W,MIDTOWN DR,MCMILLAN DR/QUEEN ST,ART,B,,157.658011837368
7977,LOCAL,OSHAWA,OSHAWA,KING ST E,MELROSE ST,KEEWATIN ST N,ART,B,,208.302418568984
7978,LOCAL,OSHAWA,OSHAWA,KING ST E,SIMCOE ST N,ONTARIO ST,ART,B,,106.646178660557
7979,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,FLEETWOOD DR,LAGUNA ST,ART,C,,198.55169907396
7980,REGIONAL,DURHAM,OSHAWA,TOWNLINE RD N,BEATRICE ST E,WHITELAW AVE,ART,B,,537.648682900807
7981,LOCAL,OSHAWA,OSHAWA,KING ST W,MCMILLAN DR/QUEEN ST,CENTRE ST,ART,B,,135.325618482817
7982,LOCAL,OSHAWA,OSHAWA,KING ST W,WEST CITY LIMITS,THORNTON RD N,ART,B,,402.419528640076
7983,LOCAL,OSHAWA,OSHAWA,LINDSAY BLVD,ROYAL ORCHARD DR,RIDGE VALLEY DR,L/R,L,,55.9712912788425
7984,REGIONAL,DURHAM,OSHAWA,HARMONY RD N,REGENT DR,PARKLANE AVE,ART,A,,111.034243484396
7985,LOCAL,OSHAWA,OSHAWA,KING ST W,GIBBONS ST,WESTMOUNT ST,ART,B,,49.0897729020358
7986,LOCAL,OSHAWA,OSHAWA,LINDSAY BLVD,CORBETTS RD,SPROULE CRES,L/R,L,,92.460389795687
7987,REGIONAL,DURHAM,OSHAWA,BLOOR ST W,CROMWELL AVE,MONTRAVE AVE,ART,A,,91.1823188397442
7988,LOCAL,OSHAWA,OSHAWA,LINDSAY BLVD,SPROULE CRES,SPROULE CRES,L/R,L,,138.130033137402
7989,LOCAL,OSHAWA,OSHAWA,KING ST W,NASSAU ST,MIDTOWN DR,ART,B,,108.395073805969
7990,LOCAL,OSHAWA,OSHAWA,GRANDVIEW ST N,RIPLEY CRES,RIPLEY CRES,ART,C,,170.667994411318
7991,LOCAL,OSHAWA,OSHAWA,FAREWELL ST,OLIVE AVE,TAYLOR AVE,C/R,COL,,325.215450497729
7992,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,GIBBONS ST,PARK RD N,ART,B,,129.004927277151
7993,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,FERNHILL BLVD,GIBBONS ST,ART,B,,206.377285764374
7994,LOCAL,OSHAWA,OSHAWA,GRANDVIEW ST N,LINDSAY BLVD,RIDGE VALLEY DR,ART,C,,94.5553931766488
7995,LOCAL,OSHAWA,OSHAWA,GRANDVIEW ST N,CORBETTS RD,LINDSAY BLVD,ART,C,,196.710158343082
7996,LOCAL,OSHAWA,OSHAWA,GLENGROVE ST,WOODLEA AVE,ROSSMOUNT AVE,L/R,L,,186.778482137665
7997,REGIONAL,DURHAM,OSHAWA,SIMCOE ST S,ST LAWRENCE ST,FIRST AVE,ART,B,,62.2611823247786
7998,REGIONAL,DURHAM,OSHAWA,SIMCOE ST S,LVIV BLVD,HIGHWAY RAMP,ART,B,,153.025307772306
7999,LOCAL,OSHAWA,OSHAWA,ELMGROVE AVE,MONTRAVE AVE,PARK RD S,ART,C,,69.6590515549538
8000,REGIONAL,DURHAM,OSHAWA,BLOOR ST E,HIGHWAY RAMP,FOURTH AVE,ART,A,,53.3091568678216
8001,LOCAL,OSHAWA,OSHAWA,GIBBONS ST,FAIRLEIGH AVE,ANNAPOLIS AVE,C/R,COL,,166.545494312438
8002,LOCAL,OSHAWA,OSHAWA,GRANDVIEW ST N,RATHBURN ST,BEATRICE ST E,ART,C,,520.414586257338
8003,LOCAL,OSHAWA,OSHAWA,ELMGROVE AVE,MONTRAVE AVE,PARK RD S,ART,C,,92.6922858000731
8004,LOCAL,OSHAWA,OSHAWA,GIBBONS ST,MALAN AVE,ROSSLAND RD W,C/R,COL,,266.377278949645
8005,LOCAL,OSHAWA,OSHAWA,CAROLYN AVE,RONLEA AVE,GRANDVIEW ST S,L/R,L,,82.4236266209187
8006,LOCAL,OSHAWA,OSHAWA,ATHOL ST E,RITSON RD S,ROWE ST,L/R,L,,105.988863937995
8007,LOCAL,OSHAWA,OSHAWA,DREW ST,ARTHUR ST,ATHOL ST E,L/R,L,,71.8271967473129
8008,LOCAL,OSHAWA,OSHAWA,BRISTOL CRES,LAVAL DR,LEEDS CT,L/R,L,,275.511009798429
8009,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,ASPEN CT,ACADIA DR,ART,C,,109.416144849652
8010,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,WINCHESTER RD,STEEPLEVIEW CT,ART,B,,1473.41792122019
8011,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,COLUMBUS RD,RIDGE TOP CT,ART,B,,410.738216171063
8012,REGIONAL,DURHAM,OSHAWA,WINCHESTER RD E,BRIDLE RD,RITSON RD N,ART,B,,760.589708193832
8013,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD E,OSHAWA BLVD N,RITSON RD N,ART,B,,209.440078639727
8014,REGIONAL,DURHAM,OSHAWA,TAUNTON RD E,MARY ST N,RITSON RD N,ART,A,,330.369678082981
8015,REGIONAL,DURHAM,OSHAWA,TOWNLINE RD N,KILMAURS AVE,MARGATE DR,ART,B,,418.040723169797
8016,LOCAL,OSHAWA,OSHAWA,TROWBRIDGE DR,LUDLOW CT,COMPTON CRES,C/R,COL,,193.184538607259
8017,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,COMMENCEMENT DR,FOUNDERS GATE,ART,B,,203.049594295545
8018,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,MCLAUGHLIN BLVD,ROSSLAND RD,ART,B,,222.101289791113
8019,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD E,MARY ST N,GRIERSON ST,ART,B,,96.6748349290024
8020,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD E,GOREVALE CRES,OSHAWA BLVD N,ART,B,,138.277545906965
8021,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD E,MINTO ST,GOREVALE CRES,ART,B,,74.0037703149462
8022,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,SWITZER DR,ROBERT ST,ART,B,,71.3388136381146
8023,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,TAUNTON RD,CAYUGA AVE,ART,B,,273.256692521382
8024,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,BUCKINGHAM AVE,WESTMORELAND AVE,ART,B,,88.7201877361585
8025,REGIONAL,DURHAM,OSHAWA,SIMCOE ST N,JONES AVE,DARCY ST,ART,B,,269.391649749013
8026,LOCAL,PRIVATE,OSHAWA,COMMENCEMENT DR,,,,,,66.2763188959339
8027,REGIONAL,DURHAM,OSHAWA,BLOOR ST E,ALBERT ST,MERRITT ST,ART,A,,185.062149530271
8028,REGIONAL,DURHAM,OSHAWA,TOWNLINE RD N,MARGATE DR,KETTERING DR,ART,B,,269.484484414831
8029,REGIONAL,DURHAM,OSHAWA,TOWNLINE RD N,KETTERING DR,MADDOCK DR,ART,B,,840.583080287441
8030,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,WILSON RD N,DOVER ST,ART,C,,88.3191112392088
8031,REGIONAL,DURHAM,OSHAWA,ROSSLAND RD W,ANSLEY CT,BROOKSIDE DR,ART,B,,150.466047222402
8032,LOCAL,OSHAWA,OSHAWA,QUAIL RUN DR,ROCKAWAY ST,EAGLE RIDGE DR,L/R,L,,88.0783826821222
8033,LOCAL,OSHAWA,OSHAWA,QUAIL RUN DR,GREENHILL AVE,ROCKAWAY ST,L/R,L,,267.170047443055
8034,LOCAL,OSHAWA,OSHAWA,GIBBONS ST,CREIGHTON AVE,LLEWELLYN AVE,C/R,COL,,166.844084164875
8035,LOCAL,OSHAWA,OSHAWA,DEER VALLEY DR,CATSKILL DR,SQUAW VALLEY CT,L/R,L,,217.58269065885
8036,LOCAL,OSHAWA,OSHAWA,GREENHILL AVE,ROCKAWAY ST,QUAIL RUN DR,C/R,COL,,87.0829629281138
8037,REGIONAL,DURHAM,OSHAWA,ADELAIDE AVE E,ACADIA DR,HARMONY RD N,ART,C,,229.281813125044
8038,LOCAL,OSHAWA,OSHAWA,SOMERVILLE ST,ORCHARD VIEW BLVD,WAYNE AVE,C/R,COL,,91.1798697764325
8039,LOCAL,OSHAWA,OSHAWA,OLD SIMCOE ST,SIMCOE ST N,RAGLAN RD W,L/R,L,,358.660171472793
8040,LOCAL,OSHAWA,OSHAWA,HILLCROFT ST,SIMCOE ST N,MASSON ST,C/R,COL,,111.768026061819
8041,LOCAL,OSHAWA,OSHAWA,BOND ST E,DIVISION ST,KENNETH AVE,ART,B,,91.6453733506541
8042,LOCAL,OSHAWA,OSHAWA,HILLCROFT ST,CENTRAL PARK BLVD N,REMBRANDT CT,C/R,COL,,112.975628874752
8043,LOCAL,OSHAWA,OSHAWA,WAVERLY ST N,ADELAIDE AVE W,HUNTINGWOOD DR,C/R,COL,,69.481410017895
8044,LOCAL,OSHAWA,OSHAWA,HILLSDALE AVE,GOREVALE CRES,OSHAWA BLVD N,L/R,L,,160.293995481405
8045,LOCAL,OSHAWA,OSHAWA,BRITANNIA AVE E,BRIDLE RD,BRIDLE RD,ART,C,,119.966879175358
8046,LOCAL,OSHAWA,OSHAWA,ARBORWOOD DR,ARBORWOOD DR,PARK RIDGE DR,L/R,L,,191.881437401478
8047,LOCAL,OSHAWA,OSHAWA,BRIDLE RD,NORTHERN DANCER DR,NORTHERN DANCER DR,ART,C,,108.551657232849
8048,LOCAL,OSHAWA,OSHAWA,SOMERVILLE ST,BEATRICE ST W,BYNG AVE,C/R,COL,,171.284080512439
8049,LOCAL,OSHAWA,OSHAWA,SOMERVILLE ST,TECUMSEH AVE,ORCHARD VIEW BLVD,C/R,COL,,91.6030640106194
8050,REGIONAL,DURHAM,OSHAWA,BLOOR ST W,CUBERT ST,BURTON RD,ART,A,,93.9880006441323
8051,LOCAL,OSHAWA,OSHAWA,CASCADE DR,GREYSTONE CT,SILVER FOX CT/SUMMERWOOD HEIGHTS,L/R,L,,170.340204140606
8052,LOCAL,OSHAWA,OSHAWA,DARCY ST,RITSON RD N,LEXINGTON ST,L/R,L,,84.3135364172847
8053,REGIONAL,DURHAM,OSHAWA,BLOOR ST W,BURTON RD,OXFORD ST,ART,A,,94.3047035003547
8054,LOCAL,OSHAWA,OSHAWA,WADEBRIDGE CRES,OXBOW CRES,OXBOW CRES,L/R,L,,70.0359682635139
8055,LOCAL,OSHAWA,OSHAWA,WADEBRIDGE CRES,OXBOW CRES,ALDERSHOT DR,L/R,L,,85.8066963380809
8056,LOCAL,OSHAWA,OSHAWA,PILGRIM SQUARE,ECLIPSE PLACE,PILGRIM LANE,L/R,L,,238.65273245359
