OBJECTID,JURISDICTION,OWNERSHIP,MUNICIPALITY,NAME,FROM_,TO_,CLASS,CLASS_OP,DES_SURF_WIDTH,Shape_Length
9720,LOCAL,OSHAWA,OSHAWA,MASSON ST,ROBERT ST,CALEDON CT,L/R,L,,208.847408143339
9721,REGIONAL,DURHAM,OSHAWA,PARK RD N,RIDGEWAY AVE,MURIEL AVE,ART,C,,159.538105933386
9722,LOCAL,OSHAWA,OSHAWA,RIDGEMOUNT BLVD,TIMBERLAND CRES,FOREST HILL CT,L/R,L,,99.0824493185944
9723,LOCAL,OSHAWA,OSHAWA,CONLIN RD E,AVALON ST,MANOR DR,ART,B,,324.861794108405
9724,LOCAL,OSHAWA,OSHAWA,GLENCAIRN ST,ROSSMOUNT AVE,NORTHCLIFFE AVE,L/R,L,,203.106675429384
9725,LOCAL,OSHAWA,OSHAWA,COLDSTREAM DR,GRANDVIEW ST N,MAYBERRY ST,ART,C,,315.988922505735
9726,LOCAL,OSHAWA,OSHAWA,ATTERSLEY DR,STORIE AVE,ELDERBERRY DR,C/R,COL,,413.610683246081
9727,LOCAL,OSHAWA,OSHAWA,WESTMORELAND AVE,138 m W OF MIDLAND,MIDLAND AVE,L/R,L,,141.300620806276
9728,LOCAL,OSHAWA,OSHAWA,ATTERSLEY DR,COBBLEHILL DR,LAVIS ST,C/R,COL,,173.675863053721
9729,LOCAL,OSHAWA,OSHAWA,GUELPH ST,GLIDDON AVE,DEVON AVE,L/R,L,,95.1584632305005
9730,LOCAL,OSHAWA,OSHAWA,KLUANE AVE,BIRCHCLIFFE AVE/MUSKOKA AVE,LAKEVIEW PARK AVE,L/R,L,,423.809965723607
9731,LOCAL,OSHAWA,OSHAWA,PARK RIDGE DR,GRANDVIEW ST N,BRIDGEPORT ST,L/R,L,,91.4435567362198
9732,LOCAL,OSHAWA,OSHAWA,DREW ST,BRUCE ST,ARTHUR ST,L/R,L,,72.0215013580544
9733,LOCAL,OSHAWA,OSHAWA,PEGGOTY CIRCLE,STEERFORTH ST,MICAWBER ST,L/R,L,,69.3416904285923
9734,LOCAL,OSHAWA,OSHAWA,SWISS HEIGHT,OBERLAND DR,GRAND RIDGE AVE,L/R,L,,89.204246815858
9735,LOCAL,OSHAWA,OSHAWA,HINTERLAND DR,MATTERHORN ST,SWISS HEIGHT,L/R,L,,87.1050536956763
9736,LOCAL,OSHAWA,OSHAWA,WOODLEA AVE,GLENCAIRN ST,GLENMANOR DR,L/R,L,,102.914989725578
9737,LOCAL,OSHAWA,OSHAWA,WESTDALE ST,NORTHCLIFFE AVE,JANE AVE,L/R,L,,90.8982231838115
9738,LOCAL,OSHAWA,OSHAWA,COLBORNE ST E,ONTARIO ST,MARY ST N,L/R,L,,159.058464769117
9739,LOCAL,OSHAWA,OSHAWA,GREENLEAF CIRCLE,GREENLEAF GATE,GREENLEAF GATE,L/R,L,,512.001897633227
9740,LOCAL,OSHAWA,OSHAWA,PUNSHON AVE,WARREN AVE,GLADSTONE AVE,L/R,L,,78.5959276575345
